                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.51365,                 1.3518,                0.70756,                 0.9039,                0.86255,                0.48995,                0.54738,                0.32209,                 0.8963,                 0.3635,                 0.4593,                0.26857,                  1.968,                 3.1275,                 1.7172,                 1.6726,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 0.5976,                 1.5994,                0.67719,                0.95974,                0.86255,                0.48995,                0.54738,                0.32209,                 0.8963,                 0.3635,                 0.4593,                0.26857,                  1.968,                 3.1275,                 1.7172,                 1.6726,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.63822,                 1.3373,                0.98134,                  1.139,                0.69549,                0.48839,                0.53714,                0.32083,                  0.909,                0.36206,                0.45811,                0.26678,                 1.9573,                 3.1309,                  1.708,                 1.6726,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.82089,                 1.8002,                  1.327,                 1.1195,                0.69549,                0.48839,                0.53714,                0.32083,                  0.909,                0.36206,                0.45811,                0.26678,                 1.9573,                 3.1309,                  1.708,                 1.6726,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.52935,                  1.117,                0.55736,                0.99898,                0.69549,                0.48839,                0.53714,                0.32083,                  0.909,                0.36206,                0.45811,                0.26678,                 1.9573,                 3.1309,                  1.708,                 1.6726,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.47022,                 1.3561,                0.67928,                0.97844,                0.63919,                0.55086,                0.60444,                0.33305,                0.58327,                0.44075,                0.45905,                 0.2687,                 1.8867,                 3.0552,                 1.7667,                 1.5751,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.41346,                 1.1158,                0.49515,                0.91979,                0.63919,                0.55086,                0.60444,                0.33305,                0.58327,                0.44075,                0.45905,                 0.2687,                 1.8867,                 3.0552,                 1.7667,                 1.5751,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.65735,                 1.7471,                 1.0246,                 1.0866,                0.63919,                0.55086,                0.60444,                0.33305,                0.58327,                0.44075,                0.45905,                 0.2687,                 1.8867,                 3.0552,                 1.7667,                 1.5751,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.81945,                 2.2071,                0.90704,                 1.0843,                0.63296,                0.55182,                0.60854,                0.33539,                0.92359,                0.36082,                0.48286,                0.27081,                 1.8669,                 3.0501,                 1.7801,                 1.5501,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.59557,                 1.3072,                0.56685,                0.94236,                0.63296,                0.55182,                0.60854,                0.33539,                0.92359,                0.36082,                0.48286,                0.27081,                 1.8669,                 3.0501,                 1.7801,                 1.5501,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.64175,                 1.2281,                0.57352,                0.96318,                0.63296,                0.55182,                0.60854,                0.33539,                0.92359,                0.36082,                0.48286,                0.27081,                 1.8669,                 3.0501,                 1.7801,                 1.5501,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.56668,                 1.2732,                0.79981,                0.98744,                0.86055,                0.48567,                0.55983,                0.33622,                 0.9231,                0.36097,                0.49204,                0.27508,                 1.8413,                 2.9762,                 1.8137,                 1.5125,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.70222,                 1.7789,                 1.3182,                 1.0673,                0.86055,                0.48567,                0.55983,                0.33622,                 0.9231,                0.36097,                0.49204,                0.27508,                 1.8413,                 2.9762,                 1.8137,                 1.5125,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.49618,                  1.103,                0.65487,                0.96546,                0.86055,                0.48567,                0.55983,                0.33622,                 0.9231,                0.36097,                0.49204,                0.27508,                 1.8413,                 2.9762,                 1.8137,                 1.5125,             2.0485e-05,             2.0485e-05,             2.0485e-05
